Gene_ID,20H_20h_embryo_F,36H_4th_instar_36h_M,36H_4th_instar_36h_F,10D_Adult_10D_M,10D_Adult_10D_F,20D_Adult_20D_M,20D_Adult_20D_F,12H_4th_instar_12h_biololgical_replicate_1_M,12H_4th_instar_12h_biololgical_replicate_2_M,12H_4th_instar_12h_biololgical_replicate_3_M,12H_4th_instar_12h_biololgical_replicate_2_F,12H_4th_instar_12h_biololgical_replicate_3_F
AGAP006242,0.685524647,0.671139722,0.10647142,2.213184541,0.279215105,1.073258308,0.183982357,0.188473668,0,0,0.162764737,0.078359023
AGAP006243,28.4695379,18.00781937,15.68124048,37.46817033,21.84088395,38.53594466,15.98728872,27.31357471,15.24885509,17.46592152,17.95924317,17.89818711
AGAP006244,42.0612124,10.72629625,16.7281656,12.28131365,10.80046429,13.67978763,11.77352685,9.920695521,8.437664361,10.81936873,10.2154512,11.01495214
AGAP006245,34.2299372,36.22841398,17.07437852,17.26373377,16.29117215,20.63929191,20.42227015,17.8564787,36.83406041,30.4453026,29.69192745,29.78441052
AGAP006246,48.43559226,28.16169795,38.44288644,69.90687343,54.29052177,96.65855805,31.4220995,73.39001582,18.97171532,30.43472459,25.35305307,24.80674172
AGAP006247,34.3089959,4.668606306,12.8095003,19.27739153,12.87344314,21.28626527,16.99717093,13.71688487,4.235050831,11.25473057,8.944413857,10.76516237
AGAP006248,45.73924022,90.71711727,30.18959619,30.0824846,33.92889276,34.77597543,42.75801798,33.25368809,120.3199603,67.98465629,68.37013005,96.18161681
AGAP006249,15.89774629,17.04592711,10.50162923,9.152629296,10.96586852,7.695790926,12.49171782,12.47886549,17.41830344,12.38615028,13.19610522,13.74803839
AGAP006250,3.334181749,1.343675895,2.526723289,1.927458357,2.479856552,2.391428305,1.892522032,1.870544049,0.751018668,1.836268983,0.98272277,0.630809821
AGAP006251,12.73250131,0.951233675,2.93788182,7.743409307,4.422270382,8.459829438,3.046405536,4.631275453,1.007433198,2.755360606,2.35087248,2.482134946
AGAP006252,2.619595384,0.591010243,1.593910866,3.005602683,1.830193034,3.055240627,1.382537605,1.687048482,0.473201208,0.986584722,0.343996185,0.662433532
AGAP006253,3.530551694,837.9063305,821.0621739,3.660318889,1.648130429,2.830466651,1097.426,1.572054542,1713.386717,981.0403556,890.0334441,1526.231887
AGAP006254,9.146394603,11.79789462,6.076694519,12.25453285,10.605463,8.326079503,9.34227348,11.61083657,10.71048107,10.55997096,13.20339854,9.656075872
AGAP006255,12.75643786,11.999353,6.993671215,14.21539767,12.61220271,14.43492014,4.687731135,15.92638762,10.1256572,8.467036237,6.711410128,8.310376427
AGAP006256,2.474982841,0.239008874,1.192462614,0.288458145,0.282202884,0.266791614,0.749529298,0.174866696,0.083202625,0.346940951,0.218416609,0.064708448
AGAP006257,0.011065372,1.524939073,6.464209135,0.501266383,0.163278624,0.367029325,9.386373032,0.155020076,3.612705693,6.600671533,5.115277603,3.099148198
AGAP006258,16.38326056,177.7988115,76.3466752,10.55903518,1.318014141,2.851398598,175.9233667,0.584859802,257.1082014,213.1074161,234.4359946,162.4544352
AGAP006259,0.021089421,0.340673585,0.135113446,1395.317904,994.4083723,1653.273347,0.498081513,861.9988001,2.273045093,0.904738772,1.156681723,2.227422256
AGAP006260,0.106444958,1.787361529,9.133555523,9.652849351,4.348433373,7.160265764,4.245433099,3.63970513,0.990659074,2.983891436,1.91220951,1.245498127
AGAP006261,0.459963883,0.079816058,0.059857839,0.083026488,0.060899496,0.053044559,0.35008499,0.046027526,0.290481467,0.253263216,0.408256351,0.162657796
AGAP006262,0.34560368,0.062409364,0.06840546,0.119019354,0.229881076,0.056289306,0.066360404,0.206940246,0.090852714,0.086100122,0.066045873,0.169579405
AGAP006263,0.283047044,2.772550333,21.47266116,875.1960865,304.1025125,768.0248245,9.138389678,298.1765135,1.016905914,7.049440473,4.168085035,2.513954833
AGAP006264,2.885385167,8.382123578,5.306280147,7.079542013,6.835027402,7.153884456,6.340861836,6.815249069,11.36001768,9.696823168,9.175807196,13.18659849
AGAP006265,0.584457424,0.134489872,0.232560622,0.705326343,0.408692805,0.68120297,0.226125418,0.399899539,0.197415775,0.173482311,0.169605644,0.138180996
AGAP006266,0.622581021,0.088590443,0.179989935,0.226064802,0.242261593,0.280711805,0.164848192,0.21406174,0.055079203,0.106178283,0.093752488,0.065821579
AGAP006267,2.142950204,0.64386456,6.4331948,17.59606037,15.34145286,23.78211031,4.1396523,14.31608903,0.501644535,1.687175009,1.163850689,1.15796756
AGAP006268,0.019529992,157.7020309,42.19136205,0.075206212,0.205435976,0.164736975,250.1136488,0.166768747,576.9716781,398.332634,477.1219013,478.4033545
AGAP006269,10.49992933,20.75684922,12.2163005,6.82168944,8.379448873,5.958116318,10.84445195,7.336707837,23.30830119,12.31073506,14.63585868,10.91575255
AGAP006270,2.854086489,0.616581451,0.873003005,1.370946114,0.825855585,1.174465993,0.866887104,0.867095065,0.521536191,0.810836915,0.82760866,0.587440363
AGAP006271,1.346072088,0.502670779,0.955101053,1.914313502,0.676890702,1.043568698,0.735777037,0.75700769,0.191873859,0.464563578,0.560184708,0.203619066
AGAP006272,3.942805396,0.629193489,1.655630578,2.719817147,3.374860837,3.55270403,2.207788281,4.088769924,0.716477435,2.342542464,1.855517999,2.883612034
AGAP006273,3.605459551,10.81671179,3.301909574,2.886756849,3.392567542,2.952310572,8.78660068,3.45548734,24.93684076,7.971652175,15.85541977,10.26736446
AGAP006275,0.120036575,623.4858591,371.8163736,307.5526964,333.2902652,234.7120787,307.8881583,273.0049187,638.3638498,675.5848382,470.6132227,1138.679985
AGAP006278,65.90014981,324.5846687,95.63327894,62.93174199,78.27081284,54.34231647,70.13806589,90.84334581,229.8025473,140.9010809,141.0991503,221.5589413
AGAP006279,1.457088777,7.526412771,6.687315058,4.309748416,6.98651945,5.489920076,6.754986687,5.656320937,6.903820932,9.011824292,7.637258813,7.916606236
AGAP006280,5.522829912,2.097284419,2.417398534,1.350930909,1.964979896,1.290212544,3.280551231,1.689865601,1.861493432,1.815570343,2.603074315,0.836964845
AGAP006281,5.782121889,4.071516637,4.01009056,4.304475212,3.547671244,4.722003159,4.022603274,3.382424382,3.047248275,3.742164267,3.53818849,2.221790342
AGAP006282,0.016682212,0.026787651,0.098531163,0.723362377,0.22877416,0.469890037,0.062851394,0.220460253,0.024829944,0.081303889,0.042947176,0.044348192
AGAP006283,0.390056493,3.306231877,8.194432126,0.517183159,1.097140303,0.212413943,37.63334937,0.988240147,41.57880784,30.55106463,28.91614918,31.75466088
AGAP006284,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006285,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006286,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006287,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006288,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006289,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006290,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006291,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006292,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006293,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006294,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006295,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006296,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006297,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006298,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006299,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006300,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006301,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006302,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006303,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006304,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006305,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006306,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006307,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006308,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006309,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006310,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006311,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006312,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006313,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006314,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006315,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006316,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006317,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006318,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006319,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006320,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006321,0.088665468,0.04973199,0.018935082,0.025291372,0.017271704,0.020775,0.058168489,0.021031227,0,0.030188569,0.077190381,0.074322767
