Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000245,X,-1,-1,I_mean_FPKM,11.93719294,I
AGAP000246,X,-1,-1,I_mean_FPKM,1.329149996,I
AGAP000247,X,-1,-1,I_mean_FPKM,0.731576255,I
AGAP000248,X,-1,-1,I_mean_FPKM,33.32871457,I
AGAP000249,X,-1,-1,I_mean_FPKM,41.6606497,I
AGAP000250,X,-1,-1,I_mean_FPKM,5.839634042,I
AGAP000251,X,-1,-1,I_mean_FPKM,8.565788978,I
AGAP000252,X,-1,-1,I_mean_FPKM,1.865893928,I
AGAP000253,X,-1,-1,I_mean_FPKM,0.08349005,I
AGAP000254,X,-1,-1,I_mean_FPKM,0.007670264,I
AGAP000255,X,-1,-1,I_mean_FPKM,8.124292991,I
AGAP000256,X,-1,-1,I_mean_FPKM,0,I
AGAP000258,X,-1,-1,I_mean_FPKM,25.80770907,I
AGAP000260,X,-1,-1,I_mean_FPKM,18.40852137,I
AGAP000261,X,-1,-1,I_mean_FPKM,63.91150038,I
AGAP000262,X,-1,-1,I_mean_FPKM,0,I
AGAP000264,X,-1,-1,I_mean_FPKM,4.996376678,I
AGAP000266,X,-1,-1,I_mean_FPKM,0,I
AGAP000267,X,-1,-1,I_mean_FPKM,0.047685497,I
AGAP000268,X,-1,-1,I_mean_FPKM,0.011205161,I
AGAP000269,X,-1,-1,I_mean_FPKM,35.85939079,I
AGAP000270,X,-1,-1,I_mean_FPKM,20.13475842,I
AGAP000271,X,-1,-1,I_mean_FPKM,54.35799886,I
AGAP000272,X,-1,-1,I_mean_FPKM,24.59887674,I
AGAP000273,X,-1,-1,I_mean_FPKM,31.46530565,I
AGAP000274,X,-1,-1,I_mean_FPKM,0.122617576,I
AGAP000275,X,-1,-1,I_mean_FPKM,0.102961867,I
AGAP000277,X,-1,-1,I_mean_FPKM,0.060686562,I
AGAP000278,X,-1,-1,I_mean_FPKM,0.041141073,I
AGAP000279,X,-1,-1,I_mean_FPKM,0,I
AGAP000280,X,-1,-1,I_mean_FPKM,0.027036161,I
AGAP000281,X,-1,-1,I_mean_FPKM,9.568997628,I
AGAP000283,X,-1,-1,I_mean_FPKM,0.018341764,I
AGAP000284,X,-1,-1,I_mean_FPKM,0.107437613,I
AGAP000285,X,-1,-1,I_mean_FPKM,49.12493271,I
AGAP000286,X,,,I_mean_FPKM,2.809557408,I
AGAP000287,X,-1,-1,I_mean_FPKM,2.041053917,I
AGAP000288,X,-1,-1,I_mean_FPKM,1.812748237,I
AGAP000289,X,-1,-1,I_mean_FPKM,3.836836238,I
AGAP000290,X,-1,-1,I_mean_FPKM,0.030277968,I
